Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2018-03-13
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
2018-11-06;17,354167;
2018-11-07;17,945833;
2018-11-08;16,65;
2018-11-09;18,083333;
2018-11-10;19,6;
2018-11-11;20,5875;
2018-11-12;20,483333;
2018-11-13;23,691667;
2018-11-14;26,370833;
2018-11-15;22,141667;
2018-11-16;18,75;
2018-11-17;18,383333;
2018-11-18;22,6;
2018-11-19;16,35;
2018-11-20;15,108333;
2018-11-21;16,154167;
2018-11-22;20,645833;
2018-11-23;22,283333;
2018-11-24;21,479167;
2018-11-25;19,4875;
2018-11-26;18,108333;
2018-11-27;17,495833;
2018-11-28;19,075;
2018-11-29;21,933333;
2018-11-30;23,004167;
2018-12-01;21,583333;
2018-12-02;20,179167;
2018-12-03;17,729167;
2018-12-04;21,0875;
2018-12-05;22,85;
2018-12-06;18,8375;
2018-12-07;18,1125;
2018-12-08;15,133333;
2018-12-09;17,220833;
2018-12-10;21,5125;
2018-12-11;24,175;
2018-12-12;26,2375;
2018-12-13;24,2375;
2018-12-14;24,858333;
2018-12-15;25,758333;
2018-12-16;24,108333;
2018-12-17;26,304167;
2018-12-18;26,258333;
2018-12-19;23,554167;
2018-12-20;25,629167;
2018-12-21;25,579167;
2018-12-22;23,970833;
2018-12-23;22,516667;
2018-12-24;21,116667;
2018-12-25;20,179167;
2018-12-26;20,175;
2018-12-27;20,579167;
2018-12-28;21,9625;
2018-12-29;22,320833;
2018-12-30;22,4375;
2018-12-31;22,425;
2019-01-01;22,983333;
2019-01-02;25,458333;
2019-01-03;26,95;
2019-01-04;23,35;
2019-01-05;21,920833;
2019-01-06;22,733333;
2019-01-07;25,975;
2019-01-08;26,329167;
2019-01-09;24,691667;
2019-01-10;26,025;
2019-01-11;23,641667;
2019-01-12;23,541667;
2019-01-13;23,445833;
2019-01-14;23,604167;
2019-01-15;25,3125;
2019-01-16;25,4375;
2019-01-17;25,05;
2019-01-18;23,925;
2019-01-19;25,975;
2019-01-20;23,316667;
2019-01-21;26,0375;
2019-01-22;24,1;
2019-01-23;24,575;
2019-01-24;23,604167;
2019-01-25;21,454167;
2019-01-26;21,3625;
2019-01-27;24,204167;
2019-01-28;25,625;
2019-01-29;26,220833;
2019-01-30;26,904167;
2019-01-31;26,5375;
2019-02-01;25,958333;
2019-02-02;25,625;
2019-02-03;23,7375;
2019-02-04;19,4875;
2019-02-05;18,575;
2019-02-06;17,833333;
2019-02-07;19,908333;
2019-02-08;21,470833;
2019-02-09;22,625;
2019-02-10;24,1625;
2019-02-11;26,320833;
2019-02-12;24,6;
2019-02-13;19,2625;
2019-02-14;19,354167;
2019-02-15;19,804167;
2019-02-16;20,604167;
2019-02-17;21,858333;
2019-02-18;23,016667;
2019-02-19;25,025;
2019-02-20;24,054167;
2019-02-21;21,6625;
2019-02-22;22,958333;
2019-02-23;24,7625;
2019-02-24;26,158333;
2019-02-25;26,004167;
2019-02-26;20,508333;
2019-02-27;22,008333;
2019-02-28;20,166667;
2019-03-01;20,408333;
2019-03-02;21,845833;
2019-03-03;21,35;
2019-03-04;21,75;
2019-03-05;23,2375;
2019-03-06;22,716667;
2019-03-07;22,458333;
2019-03-08;24,404167;
2019-03-09;25,741667;
2019-03-10;22,229167;
2019-03-11;20,175;
2019-03-12;22,366667;
2019-03-13;24,745833;
2019-03-14;23,983333;
2019-03-15;21,75;
2019-03-16;22,2;
2019-03-17;22,1625;
2019-03-18;24,204167;
2019-03-19;24,316667;
2019-03-20;21,016667;
2019-03-21;17,9875;
2019-03-22;17,829167;
2019-03-23;20,070833;
2019-03-24;20,9625;
2019-03-25;22,516667;
2019-03-26;21,429167;
2019-03-27;21,554167;
2019-03-28;19,783333;
2019-03-29;19,445833;
2019-03-30;19,683333;
2019-03-31;20,375;
2019-04-01;20,420833;
2019-04-02;20,120833;
2019-04-03;21,558333;
2019-04-04;24,033333;
2019-04-05;25,583333;
2019-04-06;23,516667;
2019-04-07;23,0875;
2019-04-08;20,4375;
2019-04-09;18,845833;
2019-04-10;17,95;
2019-04-11;19,979167;
2019-04-12;21,0375;
2019-04-13;21,216667;
2019-04-14;20,141667;
2019-04-15;20,4125;
2019-04-16;22,2875;
2019-04-17;20,620833;
2019-04-18;19,241667;
2019-04-19;19,245833;
2019-04-20;21,141667;
2019-04-21;22,925;
2019-04-22;21,466667;
2019-04-23;21,104167;
2019-04-24;21,4625;
2019-04-25;22,016667;
2019-04-26;22,004167;
2019-04-27;23,4875;
2019-04-28;22,479167;
2019-04-29;19,066667;
2019-04-30;19,845833;
2019-05-01;21,020833;
2019-05-02;21,920833;
2019-05-03;22,991667;
2019-05-04;22,941667;
2019-05-05;21,895833;
2019-05-06;23,470833;
2019-05-07;20,483333;
2019-05-08;17,708333;
2019-05-09;18,3875;
2019-05-10;20,658333;
2019-05-11;22,533333;
2019-05-12;21,8625;
2019-05-13;20,791667;
2019-05-14;21,1875;
2019-05-15;17,5875;
2019-05-16;17,0125;
2019-05-17;17,4125;
2019-05-18;17,529167;
2019-05-19;18,441667;
2019-05-20;18,658333;
2019-05-21;19,1375;
2019-05-22;19,125;
2019-05-23;19,533333;
2019-05-24;18,633333;
2019-05-25;14,9125;
2019-05-26;16,158333;
2019-05-27;18,8375;
2019-05-28;19,691667;
2019-05-29;19,145833;
2019-05-30;19,475;
2019-05-31;21,6125;
2019-06-01;19,3875;
2019-06-02;17,933333;
2019-06-03;16,933333;
2019-06-04;14,1625;
2019-06-05;13,9125;
2019-06-06;15,529167;
2019-06-07;16,883333;
2019-06-08;15,741667;
2019-06-09;14,683333;
2019-06-10;16,1375;
2019-06-11;16,916667;
2019-06-12;18,441667;
2019-06-13;20,058333;
2019-06-14;21,533333;
2019-06-15;20,704167;
2019-06-16;19,95;
2019-06-17;17,745833;
2019-06-18;18,125;
2019-06-19;19,2;
2019-06-20;17,041667;
2019-06-21;16,791667;
2019-06-22;17,920833;
2019-06-23;18,425;
2019-06-24;18,704167;
2019-06-25;20,008333;
2019-06-26;19,8;
2019-06-27;19,041667;
2019-06-28;20,7875;
2019-06-29;21,445833;
2019-06-30;20,541667;
2019-07-01;20,329167;
2019-07-02;19,991667;
2019-07-03;20,8375;
2019-07-04;15,816667;
2019-07-05;12,4125;
2019-07-06;8,741667;
2019-07-07;8,645833;
2019-07-08;12,404167;
2019-07-09;13,620833;
2019-07-10;14,529167;
2019-07-11;15,375;
2019-07-12;15,9375;
2019-07-13;17,520833;
2019-07-14;18,504167;
2019-07-15;17,133333;
2019-07-16;13,204167;
2019-07-17;11,316667;
2019-07-18;13,35;
2019-07-19;14,658333;
2019-07-20;15,779167;
2019-07-21;16,8;
2019-07-22;19,358333;
2019-07-23;19,633333;
2019-07-24;18,958333;
2019-07-25;16,570833;
2019-07-26;19,1625;
2019-07-27;19,4875;
2019-07-28;17,220833;
2019-07-29;16,5125;
2019-07-30;18,3875;
2019-07-31;17,154167;
2019-08-01;18,345833;
2019-08-02;18,929167;
2019-08-03;10,791667;
2019-08-04;10,320833;
2019-08-05;12,8125;
2019-08-06;16,4125;
2019-08-07;19;
2019-08-08;20,454167;
2019-08-09;20,883333;
2019-08-10;22,3;
2019-08-11;17,833333;
2019-08-12;21,541667;
2019-08-13;16,608333;
2019-08-14;11,083333;
2019-08-15;13,141667;
2019-08-16;15,516667;
2019-08-17;18,725;
2019-08-18;20,458333;
2019-08-19;15,0875;
2019-08-20;13,783333;
2019-08-21;14,416667;
2019-08-22;13,520833;
2019-08-23;14,629167;
2019-08-24;13,883333;
2019-08-25;13,904167;
2019-08-26;15,7625;
2019-08-27;16,65;
2019-08-28;16,566667;
2019-08-29;17,133333;
2019-08-30;20,304167;
2019-08-31;22,629167;
2019-09-01;17,066667;
2019-09-02;15,433333;
2019-09-03;16,379167;
2019-09-04;15,116667;
2019-09-05;13,120833;
2019-09-06;14,195833;
2019-09-07;20,1625;
2019-09-08;23,641667;
2019-09-09;25,125;
2019-09-10;24,833333;
2019-09-11;25,070833;
2019-09-12;27,125;
2019-09-13;16,966667;
2019-09-14;17,3125;
2019-09-15;21,245833;
2019-09-16;24,783333;
2019-09-17;24,55;
2019-09-18;23,7125;
2019-09-19;19,991667;
2019-09-20;21,079167;
2019-09-21;15,904167;
2019-09-22;15,645833;
2019-09-23;13,308333;
2019-09-24;15,179167;
2019-09-25;15,670833;
2019-09-26;16,070833;
2019-09-27;15,9625;
2019-09-28;14,220833;
2019-09-29;16,291667;
2019-09-30;17,475;
2019-10-01;20,304167;
2019-10-02;23,754167;
2019-10-03;19,383333;
2019-10-04;19,416667;
2019-10-05;22,5875;
2019-10-06;18,175;
2019-10-07;17,083333;
2019-10-08;16,695833;
2019-10-09;16,7;
2019-10-10;18,458333;
2019-10-11;20,570833;
2019-10-12;24,029167;
2019-10-13;26,008333;
2019-10-14;22,7;
2019-10-15;19,254167;
2019-10-16;19,433333;
2019-10-17;20,683333;
