Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
2018-08-30;19,4125;
2018-08-31;21,958333;
2018-09-01;18,083333;
2018-09-02;16,745833;
2018-09-03;15,245833;
2018-09-04;12,4875;
2018-09-05;null;
2018-09-06;null;
2018-09-07;15,456522;
2018-09-08;15,720833;
2018-09-09;14,408333;
2018-09-10;14,475;
2018-09-11;14,1;
2018-09-12;14,104167;
2018-09-13;14,354167;
2018-09-14;14,995833;
2018-09-15;15,3625;
2018-09-16;14,8375;
2018-09-17;15,420833;
2018-09-18;19,720833;
2018-09-19;20,779167;
2018-09-20;16,6875;
2018-09-21;18,275;
2018-09-22;20,620833;
2018-09-23;21,6875;
2018-09-24;20,683333;
2018-09-25;18,5125;
2018-09-26;19,4875;
2018-09-27;19,008333;
2018-09-28;18,6125;
2018-09-29;19,041667;
2018-09-30;19,8;
2018-10-01;21,620833;
2018-10-02;19,979167;
2018-10-03;19,779167;
2018-10-04;15,3875;
2018-10-05;13,466667;
2018-10-06;12,079167;
2018-10-07;14,408333;
2018-10-08;17,1625;
2018-10-09;21,395833;
2018-10-10;19,233333;
2018-10-11;13,916667;
2018-10-12;17,129167;
2018-10-13;20,0125;
2018-10-14;15,208333;
2018-10-15;14,525;
2018-10-16;15,425;
2018-10-17;20,004167;
2018-10-18;18,904167;
2018-10-19;17,308333;
2018-10-20;14,829167;
2018-10-21;14,516667;
2018-10-22;16,895833;
2018-10-23;18,804167;
2018-10-24;15,391667;
2018-10-25;17,354167;
2018-10-26;19,0875;
2018-10-27;20,5875;
2018-10-28;15,920833;
2018-10-29;15,120833;
2018-10-30;18,745833;
2018-10-31;18,129167;
2018-11-01;18,525;
2018-11-02;18,495833;
2018-11-03;19,55;
2018-11-04;16,8875;
2018-11-05;15,625;
2018-11-06;16,954167;
2018-11-07;16,7875;
2018-11-08;14,825;
2018-11-09;17,208333;
2018-11-10;18,4125;
2018-11-11;20,866667;
2018-11-12;21,6875;
2018-11-13;23,858333;
2018-11-14;23,245833;
2018-11-15;20,375;
2018-11-16;19,991667;
2018-11-17;18,920833;
2018-11-18;18,704167;
2018-11-19;15,079167;
2018-11-20;16,186957;
2018-11-21;16,354167;
2018-11-22;19,9625;
2018-11-23;21,966667;
2018-11-24;21,775;
2018-11-25;20,779167;
2018-11-26;17,775;
2018-11-27;17,1375;
2018-11-28;19,1;
2018-11-29;21,1;
2018-11-30;21,904167;
2018-12-01;21,283333;
2018-12-02;19,516667;
2018-12-03;16,575;
2018-12-04;20,725;
2018-12-05;21,9875;
2018-12-06;20,033333;
2018-12-07;16,395833;
2018-12-08;15,2375;
2018-12-09;17,704167;
2018-12-10;21,5375;
2018-12-11;24,454167;
2018-12-12;25,883333;
2018-12-13;24,941667;
2018-12-14;26,133333;
2018-12-15;25,345833;
2018-12-16;22,558333;
2018-12-17;25,358333;
2018-12-18;25,0625;
2018-12-19;24,025;
