Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.60253
Longitude: -48.620096
Altitude: 4.87
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
2018-08-26;12,254167;
2018-08-27;12,570833;
2018-08-28;16,55;
2018-08-29;19,454167;
2018-08-30;19,079167;
2018-08-31;19,079167;
2018-09-01;19,504167;
2018-09-02;19,6125;
2018-09-03;18,3125;
2018-09-04;18,308333;
2018-09-05;16,383333;
2018-09-06;16,095833;
2018-09-07;18,3625;
2018-09-08;17,770833;
2018-09-09;18,625;
2018-09-10;18,3875;
2018-09-11;17,795833;
2018-09-12;17,241667;
2018-09-13;18,783333;
2018-09-14;18,4;
2018-09-15;17,883333;
2018-09-16;18,941667;
2018-09-17;18,5;
2018-09-18;20,4875;
2018-09-19;20,875;
2018-09-20;21,554167;
2018-09-21;21,495833;
2018-09-22;22,125;
2018-09-23;22,9;
2018-09-24;23,141667;
2018-09-25;22,4625;
2018-09-26;22,820833;
2018-09-27;22,616667;
2018-09-28;22,116667;
2018-09-29;22,341667;
2018-09-30;23,083333;
2018-10-01;24,641667;
2018-10-02;21,554167;
2018-10-03;20,795833;
2018-10-04;19,804167;
2018-10-05;18,625;
2018-10-06;17,2;
2018-10-07;18,85;
2018-10-08;20,666667;
2018-10-09;23,4875;
2018-10-10;22,5625;
2018-10-11;20,8875;
2018-10-12;20,204167;
2018-10-13;21,183333;
2018-10-14;19,070833;
2018-10-15;19,4;
2018-10-16;20,008333;
2018-10-17;21,545833;
2018-10-18;23,820833;
2018-10-19;22,583333;
2018-10-20;20,216667;
2018-10-21;19,641667;
2018-10-22;21,225;
2018-10-23;21,379167;
2018-10-24;20,4375;
2018-10-25;19;
2018-10-26;20,829167;
2018-10-27;23,004167;
2018-10-28;20,341667;
2018-10-29;19,9875;
2018-10-30;21,5375;
2018-10-31;21,470833;
2018-11-01;21,191667;
2018-11-02;21,083333;
2018-11-03;21,520833;
2018-11-04;21,370833;
2018-11-05;21,595833;
2018-11-06;22,170833;
2018-11-07;21,758333;
2018-11-08;21,416667;
2018-11-09;22,05;
2018-11-10;22,729167;
2018-11-11;24,083333;
2018-11-12;25,166667;
2018-11-13;24,754167;
2018-11-14;26,529167;
2018-11-15;25,625;
2018-11-16;24,7875;
2018-11-17;23,433333;
2018-11-18;22,920833;
2018-11-19;21,2375;
2018-11-20;20,716667;
2018-11-21;21,9375;
2018-11-22;23,116667;
2018-11-23;24,779167;
2018-11-24;24,241667;
2018-11-25;21,733333;
2018-11-26;22,295833;
2018-11-27;22,566667;
2018-11-28;22,7;
2018-11-29;22,958333;
2018-11-30;22,908333;
2018-12-01;23,504167;
2018-12-02;22,666667;
2018-12-03;20,158333;
2018-12-04;22,341667;
2018-12-05;22,266667;
2018-12-06;22,191667;
2018-12-07;20,845833;
2018-12-08;19,891667;
2018-12-09;21,691667;
2018-12-10;24,233333;
2018-12-11;24,895833;
2018-12-12;26,291667;
2018-12-13;26,5625;
2018-12-14;26,783333;
2018-12-15;26,525;
2018-12-16;26,095833;
2018-12-17;27,65;
2018-12-18;26,125;
2018-12-19;25,275;
2018-12-20;26,591667;
2018-12-21;25,6375;
2018-12-22;25,941667;
2018-12-23;24,05;
2018-12-24;23,708333;
2018-12-25;22,720833;
2018-12-26;23,341667;
2018-12-27;24,4375;
2018-12-28;26,175;
2018-12-29;26,820833;
2018-12-30;27,3;
2018-12-31;27,625;
2019-01-01;27,675;
2019-01-02;27,9375;
2019-01-03;30,645833;
2019-01-04;24,945833;
2019-01-05;23,9;
2019-01-06;25,6;
2019-01-07;27,470833;
2019-01-08;27,291667;
2019-01-09;27,320833;
2019-01-10;28,720833;
2019-01-11;27,1;
2019-01-12;26,991667;
2019-01-13;26,629167;
2019-01-14;27,204167;
2019-01-15;28,3375;
2019-01-16;28,1125;
2019-01-17;26,733333;
2019-01-18;26,641667;
2019-01-19;25,870833;
2019-01-20;25,1625;
2019-01-21;26,425;
2019-01-22;26,929167;
2019-01-23;27,5875;
2019-01-24;25,6625;
2019-01-25;25,608333;
2019-01-26;26,683333;
2019-01-27;27;
2019-01-28;28,083333;
2019-01-29;29,225;
2019-01-30;30,095833;
2019-01-31;30,729167;
2019-02-01;28,279167;
2019-02-02;26,458333;
2019-02-03;23,720833;
2019-02-04;23,154167;
2019-02-05;23,2625;
2019-02-06;23,595833;
2019-02-07;24,579167;
2019-02-08;25,591667;
2019-02-09;27,0375;
2019-02-10;27,195833;
2019-02-11;27,341667;
2019-02-12;26,483333;
2019-02-13;23,375;
2019-02-14;23,5875;
2019-02-15;21,483333;
2019-02-16;22,029167;
2019-02-17;22,4875;
2019-02-18;22,929167;
2019-02-19;25,245833;
2019-02-20;24,7875;
2019-02-21;25,3375;
2019-02-22;26,404167;
2019-02-23;28,541667;
2019-02-24;28,516667;
2019-02-25;24,333333;
2019-02-26;22,916667;
2019-02-27;21,870833;
2019-02-28;22,829167;
2019-03-01;24,525;
2019-03-02;26,775;
2019-03-03;26,270833;
2019-03-04;27,341667;
2019-03-05;27,166667;
2019-03-06;27,433333;
2019-03-07;26,479167;
2019-03-08;27,7375;
2019-03-09;25,8875;
2019-03-10;23,920833;
2019-03-11;22,954167;
2019-03-12;22,075;
2019-03-13;25,4625;
2019-03-14;24,7625;
2019-03-15;24,529167;
2019-03-16;24,8125;
2019-03-17;24,395833;
2019-03-18;25,595833;
2019-03-19;25,7625;
2019-03-20;23,795833;
2019-03-21;22,5625;
2019-03-22;20,9125;
2019-03-23;22,366667;
2019-03-24;24,245833;
2019-03-25;23,7625;
2019-03-26;22,0375;
2019-03-27;22,441667;
2019-03-28;22,483333;
2019-03-29;22,5375;
2019-03-30;23,291667;
2019-03-31;22,870833;
2019-04-01;24,154167;
2019-04-02;24,6375;
2019-04-03;25,145833;
2019-04-04;25,979167;
2019-04-05;26,533333;
2019-04-06;22,266667;
2019-04-07;20,933333;
2019-04-08;22,208333;
2019-04-09;21,625;
2019-04-10;21,604167;
2019-04-11;23,0625;
2019-04-12;23,279167;
2019-04-13;24,479167;
2019-04-14;25,016667;
2019-04-15;24,975;
2019-04-16;22,958333;
2019-04-17;22,6;
2019-04-18;22,9875;
2019-04-19;24,145833;
2019-04-20;23,083333;
2019-04-21;24,020833;
2019-04-22;21,9875;
2019-04-23;21,958333;
2019-04-24;22,445833;
2019-04-25;23,908333;
2019-04-26;24,6375;
2019-04-27;24,608333;
2019-04-28;22,616667;
2019-04-29;21,0125;
2019-04-30;21,3125;
2019-05-01;21,783333;
2019-05-02;23,1;
2019-05-03;24,2875;
2019-05-04;25,354167;
2019-05-05;24,658333;
2019-05-06;25,070833;
2019-05-07;22,666667;
2019-05-08;21,4625;
2019-05-09;21,491667;
2019-05-10;23,066667;
2019-05-11;22,7375;
2019-05-12;21,0875;
2019-05-13;20,6625;
2019-05-14;20,895833;
2019-05-15;20,841667;
2019-05-16;21,358333;
2019-05-17;20,454167;
2019-05-18;20,345833;
2019-05-19;20,1375;
2019-05-20;20,941667;
2019-05-21;21,891667;
2019-05-22;21,520833;
2019-05-23;21,2;
2019-05-24;19,233333;
2019-05-25;19,775;
2019-05-26;17,970833;
2019-05-27;20,558333;
2019-05-28;20,554167;
2019-05-29;20,533333;
2019-05-30;19,008333;
2019-05-31;19,35;
2019-06-01;19,820833;
2019-06-02;19,525;
2019-06-03;19,041667;
2019-06-04;17,358333;
2019-06-05;16,504167;
2019-06-06;18,695833;
2019-06-07;21,0625;
2019-06-08;18,733333;
2019-06-09;20,854167;
2019-06-10;20,054167;
2019-06-11;20,804167;
2019-06-12;19,716667;
2019-06-13;21,820833;
2019-06-14;22,204167;
2019-06-15;22,175;
2019-06-16;21,6625;
2019-06-17;22,008333;
2019-06-18;20,725;
2019-06-19;20,683333;
2019-06-20;18,225;
2019-06-21;18,320833;
2019-06-22;20,186957;
2019-06-23;19,270833;
2019-06-24;20,5875;
2019-06-25;22,070833;
2019-06-26;15,816667;
2019-06-27;15,15;
2019-06-28;19,513043;
2019-06-29;22,55;
2019-06-30;23,183333;
2019-07-01;17,341667;
2019-07-02;14,729167;
2019-07-03;16,566667;
2019-07-04;14,220833;
2019-07-05;11,9625;
2019-07-06;11,791304;
2019-07-07;11,531818;
2019-07-08;13,429167;
2019-07-09;14,841667;
2019-07-10;16,404167;
2019-07-11;16,516667;
2019-07-12;16,529167;
2019-07-13;19,154167;
2019-07-14;17,6;
2019-07-15;15,591667;
2019-07-16;15,8625;
2019-07-17;14,720833;
2019-07-18;16,441667;
2019-07-19;18,445833;
2019-07-20;18,079167;
2019-07-21;18,429167;
2019-07-22;18,75;
2019-07-23;20,708333;
2019-07-24;19,479167;
2019-07-25;20,195833;
2019-07-26;20,229167;
2019-07-27;17,308333;
2019-07-28;16,175;
2019-07-29;19;
2019-07-30;18,7625;
2019-07-31;18,029167;
2019-08-01;19,275;
2019-08-02;15,8125;
2019-08-03;12,166667;
2019-08-04;12,047826;
2019-08-05;14,3875;
2019-08-06;18,683333;
2019-08-07;20,141667;
2019-08-08;20,445833;
2019-08-09;19,320833;
2019-08-10;21,070833;
2019-08-11;17,520833;
2019-08-12;19,8125;
2019-08-13;16,766667;
2019-08-14;13,004348;
2019-08-15;15,391667;
2019-08-16;18,3625;
2019-08-17;18,554167;
2019-08-18;18,45;
2019-08-19;13,9375;
2019-08-20;14,25;
2019-08-21;14,466667;
2019-08-22;15,279167;
2019-08-23;16,65;
2019-08-24;16,4625;
